,name,Round,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
140,Robert-Lewandowski-,Matchweek 5,65,1,0,38,13,0,2,1,0.8,0.1,0.0,4,1,24,29,82.8,47,33,150,2,5
141,Robert-Lewandowski-,Matchweek 6,90,3,0,26,17,0,1,0,1.0,0.2,0.0,3,1,13,18,72.2,58,15,69,0,0
142,Robert-Lewandowski-,Group stage,90,3,3,,,,2,,,,,,,,,,,,,,
143,Robert-Lewandowski-,Matchweek 7,90,5,1,31,8,0,0,0,0.7,0.7,0.4,4,0,12,16,75.0,22,27,47,1,1
144,Robert-Lewandowski-,First round,90,,,,,,,,,,,,,,,,,,,,
145,Robert-Lewandowski-,First round,90,,,,,,,,,,,,,,,,,,,,
146,Robert-Lewandowski-,Matchweek 8,90,4,1,40,20,0,0,0,0.6,0.6,0.2,4,0,24,29,82.8,66,35,104,0,1
147,Robert-Lewandowski-,Group stage,90,8,3,,,,0,,,,,,,,,,,,,,
148,Robert-Lewandowski-,Matchweek 9,90,2,0,31,7,1,0,0,0.7,0.7,0.4,4,0,19,23,82.6,86,30,60,5,6
149,Robert-Lewandowski-,Second round,120,5,2,,,,1,,,,,,,,,,,,,,
150,Robert-Lewandowski-,Matchweek 10,45,2,2,15,3,0,0,0,0.6,0.6,0.1,2,1,9,12,75.0,7,8,14,0,0
151,Robert-Lewandowski-,,,,,,,,,,,,,,,,,,,,,,
152,Robert-Lewandowski-,Matchweek 11,90,5,3,46,7,1,0,0,1.3,1.3,0.0,1,0,22,29,75.9,36,34,98,0,2
153,Robert-Lewandowski-,Friendlies (M),"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
154,Robert-Lewandowski-,Matchweek 12,90,4,4,36,7,0,0,0,0.8,0.8,0.0,4,0,14,18,77.8,12,33,97,1,2
155,Robert-Lewandowski-,Group stage,90,7,3,,,,0,,,,,,,,,,,,,,
156,Robert-Lewandowski-,Matchweek 13,90,8,2,50,20,0,0,0,0.8,0.8,0.0,3,0,27,34,79.4,62,43,71,0,0
157,Robert-Lewandowski-,Matchweek 14,90,3,1,22,14,2,0,1,1.6,0.8,0.0,1,0,11,14,78.6,12,17,37,1,1
158,Robert-Lewandowski-,Group stage,90,3,1,,,,0,,,,,,,,,,,,,,
159,Robert-Lewandowski-,Matchweek 15,6,0,0,10,3,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,2,8,41,0,0
160,Robert-Lewandowski-,Matchweek 16,90,10,3,44,7,0,0,0,1.3,1.3,0.0,3,0,19,27,70.4,21,33,43,1,3
161,Robert-Lewandowski-,Matchweek 17,90,5,2,57,20,0,0,0,1.0,1.0,0.0,4,0,37,44,84.1,91,48,78,4,4
